year,statefips,countyfips,ice_wanh_ba,ice_wanh_aa,ice_wanh_h
2015-2019,01,055,0.07526577987776693,0.1414154383442042,0.13648502901751322
2015-2019,01,057,0.055130843869450163,0.10614525139664804,0.10394001764187004
2015-2019,01,059,0.08544532947139753,0.09929398986241854,0.07720854453294713
2015-2019,01,061,0.08899162091880959,0.13117596070499857,0.1267456419146682
2015-2019,01,063,-0.42900711623178583,0.033209081667231445,0.033209081667231445
2015-2019,01,065,-0.21097345132743364,0.09592920353982301,0.0952212389380531
2015-2019,01,067,0.05641025641025641,0.15746606334841629,0.15218702865761688
2015-2019,01,069,0.057770089796749004,0.1691638472692122,0.16499198697565567
2015-2019,01,071,0.11186276878473062,0.12230007248127567,0.11350567769992752
2015-2019,01,073,0.03355267942931735,0.17845125578510973,0.1757180426519058
2015-2019,01,075,0.06881830601092896,0.13183060109289618,0.12995218579234974
2015-2019,01,077,0.11925866236905722,0.16246003483143145,0.1585609939954771
2015-2019,01,079,0.0806973258657411,0.13757198075254398,0.13559990534038022
2015-2019,01,081,0.10496870694091671,0.17942460613908395,0.18194797217656922
2015-2019,01,083,0.19279469869022806,0.22269234358958404,0.21018573250785552
2015-2019,01,085,-0.33474476593742647,0.08139261350270524,0.08139261350270524
2015-2019,01,087,-0.30626170725180624,0.0293015788065293,0.030907144768530907
2015-2019,01,089,0.17331920722860672,0.24994432785159493,0.24024725182031054
2015-2019,01,091,-0.21192772721097677,0.09672598831680478,0.09645428610243173
2015-2019,01,093,0.08593815120446778,0.10761023589230641,0.10644327748603817
2015-2019,01,095,0.15302582920047014,0.15999197316744546,0.13310208410973826
2015-2019,01,097,0.00304638050316478,0.14282148594248997,0.13944870752827182
2015-2019,01,099,-0.1487876561351947,0.1109478324761205,0.10788635807004654
2015-2019,01,101,-0.06211533950651759,0.12473332067421002,0.12112547052844393
2015-2019,01,103,0.1315388300884185,0.18077877956356983,0.16464131713053703
2015-2019,01,105,-0.34201954397394135,0.039413680781758956,0.039413680781758956
2015-2019,01,107,-0.07777923268299071,0.13565536205316223,0.1351315961765091
2015-2019,01,109,-0.05430566330488751,0.11973105766744246,0.12274803896215844
2015-2019,01,111,0.06940933118823259,0.1358308434842565,0.12341990347046657
2015-2019,01,113,-0.11245808614908434,0.05442352334279082,0.03903361705786261
2015-2019,01,115,0.19156573854413783,0.2070483206392808,0.20377075789736546
2015-2019,01,117,0.2951902549290468,0.31392691196785133,0.31093808866005274
2015-2019,01,119,-0.38254517493271817,0.049596309111880045,0.049596309111880045
2015-2019,01,121,-0.012486064659977704,0.12263099219620958,0.116292403248925
2015-2019,01,123,0.02585621721690836,0.14933662449861154,0.1468682505399568
2015-2019,01,125,0.07667572901284829,0.18367121624046037,0.18154593505471908
2015-2019,01,127,0.12546464686838002,0.15300371717494704,0.1470082737119789
2015-2019,01,129,0.027045075125208682,0.14290484140233722,0.13889816360601
2015-2019,01,131,-0.2973533990659056,0.04955889984431759,0.04099636741048261
2015-2019,01,133,0.1158256880733945,0.11718098415346122,0.11728523769808173
2015-2019,02,013,0.07640449438202247,0.07303370786516854,0.07640449438202247
2015-2019,02,016,0.18871103622577928,0.16512215669755687,0.18534119629317608
2015-2019,02,020,0.3117287715709366,0.310490114200456,0.3101710660898777
2015-2019,02,050,0.09690354199153486,0.09690354199153486,0.08643350412118513
2015-2019,02,060,0.2643312101910828,0.2643312101910828,0.2611464968152866
2015-2019,02,068,0.32137030995106036,0.3376835236541599,0.3376835236541599
2015-2019,02,070,0.0700770847932726,0.0700770847932726,0.06657323055360898
